,0,1,2,3,4
0,1561,2441.0,"Officers are also required to refer those with symptoms coming from South Korea or Italy to be screened by the Centers for Disease Control and Prevention,",['Stephanie Malin'],Centers for Disease Control and Prevention (CDC)
0,1563,2441.0,"""They are caught in the middle,""",['Gil Kerlikowske'],Customs and Border Protection
0,1565,2448.0,"""These changes are being made to address highly unusual disruptions in Treasury financing markets associated with the coronavirus outbreak,""",['the New York Fed'],Department of the Treasury
0,1566,2448.0,"""This is a full-blown crisis response operation, intended to make it abundantly clear that the Fed will not allow liquidity to dry up,""",['Ian Shepherdson'],Court of Federal Claims
0,1597,2504.0,"""We understand that this decision will be disappointing to our student-athletes and coaches who have been preparing all season to compete in this event, as well as viewers at home,""",['Greg Sankey'],Secret Service
0,1637,2579.0,"""has been about as clear as mud.""",['Qassim Suleimani'],White House
0,1638,2579.0,"""Iran and its proxies are watching right now as we spin our wheels,""",['Michael McCaul'],Congress—U.S. House of Representatives
0,1639,2579.0,"""in response to an escalating series of attacks in preceding months""",['Qassim Suleimani'],White House
0,1647,2592.0,"""If the Trump administration and Congress can’t get it together quickly and put together a sizable and responsible package, then a recession seems like a real possibility here,""",['Mark Zandi'],Congress—U.S. House of Representatives
0,1660,2614.0,"""not something we’re considering at the moment.""",['Steven Mnuchin'],Department of the Treasury
0,1663,2622.0,"""one in five food service workers have reported working at least once in the previous year while sick with vomiting or diarrhea.""",['The Centers for Disease Control and Prevention'],Centers for Disease Control and Prevention (CDC)
0,1668,2627.0,"""In an effort to keep the entire work space as safe as possible, NETworks has developed new safety standards for housing and travel that go far beyond anything we’ve ever seen or done in the past,""",['Orin Wolf'],Middle East Broadcasting Networks
0,1673,2640.0,"""a step closer to restoring decency, dignity and honor to the White House""",['Biden'],White House
0,1682,2649.0,"""Had something as significant as this coronavirus occurred any time before 2013, we would have already seen multiple restructuring firms hired along with a frantic, concerted effort from our industry for government assistance,""",['Doug Parker'],Administrative Conference of the United States
0,1687,2654.0,"""Capital is substantially higher and substantially better quality than it was 12 or 13 years ago,""",['Daniel Tarullo'],Chief Human Capital Officers Council
0,1696,2674.0,"The F.D.A. has a staff of about 200 investigators who conduct overseas drug inspections,",['Janet Woodcock'],Congress—U.S. House of Representatives
0,1703,2681.0,"""Our pathetic, slow moving Federal Reserve, headed by Jay Powell, who raised rates too fast and lowered too late, should get our Fed Rate down to the levels of our competitor nations,""",['Jay Powell'],Federal Reserve System
0,1705,2683.0,"""long overdue and completely inadequate.""",['Trump' 'Nancy Pelosi'],Congress—U.S. House of Representatives
0,1769,2780.0,"""We don’t know what the world will look like in three months,""",['Quinn'],Smithsonian Institution
0,1773,2784.0,"""We don’t know what the world will look like in three months,""",['Quinn'],Smithsonian Institution
0,1782,2800.0,"""are based on evidence that the virus is transmitted primarily through respiratory droplets — the large, sometimes visible droplets expelled when someone coughs or sneezes,""",['Healthy Buildings'],Centers for Disease Control and Prevention (CDC)
0,1786,2807.0,"""The reason that’s important, the reason that meets future demand is because the enormous capacity of these commercial laboratories and others in the country are precisely how we will make coronavirus tests available for your local doctor, available to your pharmacy and broadly available to the American public,""",['Pence'],White House
0,1791,2811.0,"""The reason that’s important, the reason that meets future demand is because the enormous capacity of these commercial laboratories and others in the country are precisely how we will make coronavirus tests available for your local doctor, available to your pharmacy and broadly available to the American public,""",['Pence'],White House
0,1816,2831.0,"""they think this will bring down the president, that’s what this is all about.""",['Mick Mulvaney'],White House
0,1836,2851.0,"""The epidemic has already dented anemic global economic growth this year and it can be expected to slow further, then contract, as the fear of the virus takes hold,""",['Nigel Green'],Federal Consulting Group
0,1843,2863.0,"""Now, quite honestly, we probably have a six-month backlog in getting quotes out,""",['Ryan' 'Christian Ryan' 'Munich Re'],Marshals Service
0,1845,2864.0,"""Now, quite honestly, we probably have a six-month backlog in getting quotes out,""",['Ryan' 'Christian Ryan' 'Munich Re'],Marshals Service
0,1851,2874.0,"""The country is in great shape, the market is in great shape,""",['Trump'],White House
0,1862,2893.0,"""It will help accelerate the return of jobs to North America,""",['Wilbur Ross'],Commerce Department (DOC)
0,1878,2918.0,"""It’s really very, very important,""",['Redfield' 'Trump'],White House
0,1888,2935.0,"""it really seems like, unintentionally, the high deductible structure is designed to impede a public health response,""",['Ted Doolittle'],Centers for Medicare and Medicaid Services (CMS)
0,1891,2940.0,"""can provide a short-term floor under sentiment, which is what they’ve done today,""",['Neil Dutta'],Court of Federal Claims
0,1910,2961.0,"""it really seems like, unintentionally, the high deductible structure is designed to impede a public health response,""",['Ted Doolittle'],Centers for Medicare and Medicaid Services (CMS)
